DienTich,City,District,MucGia,MatTien,PhapLy,DuongVao,HuongNha,SoTang,SoPhongNgu,SoToilet,NoiThat,Ward
100.0,79,762,8500000000.0,,,,5,,12,1,1,26818
250.0,74,724,15500000000.0,8.0,1,16.0,4,,10,8,2,25942
31.0,1,21,3400000000.0,,1,,4,,11,0,1,601
120.0,79,766,14800000000.0,8.0,,,6,,1,8,1,26965
100.0,79,769,35000000000.0,5.0,1,30.0,8,4.0,5,6,1,27091
39.0,1,3,6900000000.0,4.6,1,2.0,6,5.0,3,4,2,112
91.3,74,724,3750000000.0,4.0,1,5.0,5,2.0,3,3,1,25957
117.9,92,916,6400000000.0,6.84,1,20.0,6,1.0,2,1,2,31150
600.0,74,724,25000000000.0,17.0,1,8.0,7,2.0,8,8,2,25957
35.0,1,7,5500000000.0,,1,,1,5.0,3,0,2,295
37.0,1,7,5750000000.0,,1,,4,5.0,3,7,2,286
58.0,1,7,6790000000.0,4.0,1,3.0,1,5.0,3,4,1,298
40.0,1,8,4950000000.0,,1,2.5,4,5.0,4,1,2,328
70.0,1,268,11800000000.0,5.3,1,7.0,4,5.0,4,4,2,9550
92.5,48,495,7450000000.0,5.0,1,,7,3.0,3,4,2,20260
85.0,1,268,14100000000.0,4.5,1,5.0,2,4.0,4,3,2,9542
110.0,1,268,16800000000.0,5.0,1,8.0,5,4.0,3,4,2,9541
118.0,79,765,16989999999.999998,4.7,1,8.0,6,3.0,3,3,2,26950
56.0,1,5,13200000000.0,,1,,2,7.0,1,4,2,163
57.0,1,19,14500000000.0,,1,,3,6.0,3,3,3,626
33.0,1,21,3500000000.0,,1,,7,4.0,1,10,3,607
102.0,79,785,5050000000.0,,4,,6,,2,2,0,27595
120.0,79,778,21500000000.0,,1,24.0,4,4.0,4,2,2,27466
43.7,1,6,8800000000.0,14.0,1,100.0,1,6.0,10,11,2,220
37.0,1,274,2750000000.0,4.0,1,3.0,8,4.0,3,3,2,9862
111.0,79,786,10500000000.0,,4,,4,4.0,4,5,1,27655
36.0,1,274,2700000000.0,5.0,1,4.0,3,5.0,5,4,3,9892
95.0,79,778,13800000000.0,,1,20.0,4,,4,4,1,27466
33.0,1,268,4300000000.0,,1,3.0,3,5.0,4,4,2,9886
53.0,79,767,5400000000.0,,1,4.0,6,2.0,3,2,2,27013
45.0,1,4,8900000000.0,4.0,1,3.0,3,6.0,3,4,2,133
33.0,1,274,2950000000.0,4.0,1,4.0,6,5.0,4,4,3,9889
69.0,1,6,22900000000.0,4.2,,,5,,6,18,2,223
75.0,56,568,4850000000.0,4.0,1,13.0,5,2.0,3,3,1,22357
91.5,1,20,18000000000.0,,,,4,7.0,9,14,2,643
31.0,1,274,2950000000.0,4.0,1,3.0,6,5.0,3,4,2,9844
40.0,1,5,8400000000.0,3.5,1,4.0,4,4.0,4,0,1,166
67.5,56,568,3700000000.0,5.0,1,7.0,3,3.0,4,3,1,22327
35.0,1,5,6500000000.0,,1,,2,4.0,4,3,2,157
85.5,79,778,10500000000.0,4.0,1,16.0,6,1.0,2,1,0,27472
100.0,56,568,7000000000.0,5.0,1,16.0,3,4.0,5,6,1,22327
106.0,1,9,20900000000.0,5.5,1,4.5,2,3.0,4,4,2,352
113.9,56,568,12529000000.0,5.7,1,16.0,2,2.0,2,2,0,22327
33.0,1,274,3150000000.0,4.0,1,4.0,6,5.0,4,4,2,9853
384.0,77,751,23550000000.0,,,,5,,3,3,1,26623
33.0,1,21,5250000000.0,4.0,1,3.0,6,5.0,4,4,2,616
68.0,79,767,6500000000.0,,1,8.0,2,3.0,4,4,3,27013
86.0,1,268,23500000000.0,,,,2,5.0,1,11,1,9541
37.0,1,19,5500000000.0,5.0,1,,1,4.0,4,4,2,631
93.4,75,731,3200000000.0,5.0,1,19.0,1,,3,3,2,26374
64.0,79,777,5900000000.0,4.0,1,4.0,5,4.0,4,5,2,27439
60.0,1,5,14500000000.0,,1,,4,7.0,12,12,2,169
89.0,79,765,15000000000.0,6.16,1,4.0,2,2.0,4,3,2,26953
54.0,1,5,23000000000.0,5.0,,,1,,5,7,1,175
60.0,1,9,13200000000.0,5.0,1,,3,5.0,0,7,2,352
55.0,1,268,14990000000.0,5.0,1,16.0,6,7.0,4,6,1,9544
36.0,1,9,5900000000.0,4.3,1,3.0,6,5.0,3,4,2,364
40.0,1,5,10000000000.0,,1,,2,6.0,2,6,3,172
53.2,79,772,11900000000.0,,,12.0,3,3.0,4,3,1,27208
156.0,27,260,4500000000.0,10.0,1,4.0,6,4.0,30,30,3,9340
100.0,1,1,22000000000.0,7.0,1,,4,6.0,6,5,2,8
156.2,79,768,16800000000.0,7.2,1,10.0,3,1.0,6,3,2,27052
56.0,1,3,12500000000.0,,1,,4,6.0,8,8,2,112
75.0,1,5,31500000000.0,6.0,1,12.0,3,7.0,8,7,2,175
100.0,1,3,19500000000.0,5.5,1,,6,5.0,6,2,2,109
50.0,1,6,16500000000.0,4.0,1,,5,7.0,3,3,2,199
46.5,1,17,3700000000.0,5.5,1,2.5,6,4.0,3,3,1,508
59.0,1,9,11800000000.0,8.0,1,,3,7.0,11,3,2,364
60.0,1,1,10500000000.0,4.0,1,,7,4.0,3,3,2,22
50.0,74,724,2300000000.0,5.0,1,5.0,4,1.0,2,2,2,25960
50.0,1,6,16500000000.0,,1,,2,5.0,3,5,2,199
95.0,48,494,5700000000.0,5.0,1,7.5,5,2.0,2,2,2,20285
112.2,74,724,2590000000.0,5.0,1,4.0,1,1.0,4,2,2,25951
100.0,79,764,16800000000.0,5.0,1,,5,4.0,5,4,1,26887
55.0,1,21,7000000000.0,4.0,1,,7,4.0,6,5,2,616
91.3,74,724,3750000000.0,4.0,1,5.0,8,2.0,3,2,2,25957
100.0,79,764,17800000000.0,,1,,3,5.0,6,6,3,26884
63.0,74,724,4000000000.0,5.5,1,7.0,5,2.0,3,3,2,25957
42.0,79,767,4600000000.0,,1,4.5,4,3.0,3,4,3,27025
220.0,79,764,35000000000.0,,1,,3,4.0,7,7,2,26884
42.0,1,5,12800000000.0,,1,,6,6.0,4,3,2,163
60.0,1,5,18000000000.0,8.4,1,5.0,6,5.0,4,6,2,160
52.0,1,1,10500000000.0,,1,,3,1.0,2,0,2,8
66.0,1,19,8350000000.0,,1,,4,5.0,6,5,3,625
80.0,74,724,4760000000.0,7.16,,13.0,5,3.0,4,4,2,25945
35.0,1,4,4700000000.0,,,,2,,0,9,1,136
52.0,1,19,9000000000.0,,1,,3,5.0,5,4,2,631
51.0,1,21,4200000000.0,,,,5,,8,12,1,610
53.0,1,19,8400000000.0,4.3,1,4.0,1,4.0,9,2,2,632
45.0,1,3,6200000000.0,,1,,1,5.0,4,4,2,109
52.0,79,778,5380000000.0,4.0,1,3.0,2,2.0,2,3,1,27478
39.0,1,7,5300000000.0,3.2,1,,6,3.0,2,2,2,286
98.0,75,731,3950000000.0,5.1,1,,4,2.0,3,2,3,25996
90.0,75,731,3900000000.0,,1,8.0,6,2.0,3,2,3,25996
64.0,79,778,3800000000.0,3.5,1,3.5,5,2.0,3,2,1,27472
50.0,1,9,6800000000.0,5.7,1,,5,4.0,4,2,1,349
94.0,79,762,7900000000.0,4.0,1,6.0,5,3.0,3,3,1,26827
46.0,1,268,6700000000.0,3.0,1,,8,4.0,4,3,2,9541
147.0,79,778,10140000000.0,,,,4,,7,5,1,27484
45.0,1,7,7800000000.0,,1,,1,5.0,6,6,1,295
94.0,79,766,23500000000.0,5.5,1,,5,3.0,11,0,2,26965
100.0,79,765,22000000000.0,5.0,1,,4,6.0,7,0,3,26935
55.0,1,6,16899999999.999998,,1,,2,7.0,4,6,2,187
36.0,1,8,4350000000.0,,1,,5,4.0,4,3,2,328
39.0,1,8,4500000000.0,5.4,1,4.0,7,5.0,3,4,3,340
25.0,1,6,5400000000.0,,1,,3,5.0,3,4,2,232
50.0,1,268,6000000000.0,,1,,6,5.0,4,4,3,9565
150.0,79,761,9500000000.0,,1,7.0,3,4.0,5,1,1,26770
138.0,1,1,48450000000.0,,1,,6,5.0,6,3,0,34
77.0,74,724,2380000000.0,,1,5.0,2,,5,6,1,25948
184.0,79,769,37000000000.0,8.0,1,20.0,1,3.0,1,5,1,27112
138.0,1,6,48450000000.0,,1,,3,5.0,6,3,0,199
86.0,79,776,5990000000.0,6.0,1,4.0,4,4.0,5,3,1,27430
138.0,1,1,43470000000.0,,1,,2,5.0,6,3,0,25
43.0,1,5,5450000000.0,4.5,1,3.3,6,5.0,4,4,2,163
120.0,56,568,7200000000.0,8.0,4,13.0,5,3.0,4,4,3,22357
100.0,80,794,3500000000.0,5.0,,,5,3.0,3,3,2,27700
120.0,79,764,16000000000.0,,1,,3,5.0,7,11,2,26875
72.0,79,774,24000000000.0,4.0,1,12.0,5,3.0,4,4,3,27325
115.0,79,762,16800000000.0,5.0,1,14.0,5,4.0,4,5,1,26809
40.0,31,304,4980000000.0,4.0,1,21.0,5,5.0,5,4,3,11350
50.0,1,6,11800000000.0,5.0,1,,5,6.0,6,9,2,223
167.0,79,763,18000000000.0,5.0,1,30.0,2,,3,1,2,26833
